date,pull_up,fivekm_time,bench_press,squat,overhead_press,deadlift
12/01/2025,3,29.5,60,70,40,0
26/05/2025,3,24.5,72.5,70,45,0
17/08/2025,3,24.25,72.5,70,45,0
31/08/2025,3,24.25,80,70,45,0
09/09/2025,3,23.5,80,70,45,0
11/09/2025,4,23.5,82.5,70,50,0
01/12/2025,6,23.5,82.5,70,50,0
24/12/2025,6,23.5,82.5,70,50,0
15/01/2026,6,23.5,82.5,80,50,100
20/01/2026,6,23.5,82.5,80,50,110
22/01/2026,6,23.5,82.5,80,50,120
25/01/2026,6,23.5,82.5,80,50,130
26/01/2026,7,23.5,82.5,80,50,130
06/02/2026,7,23.5,82.5,80,50,140
08/02/2026,7,23.5,82.5,80,55,140
14/02/2026,8,23.5,82.5,80,55,140
